gid,provincia,nombre,sector,ndomicilio,localidad,departamento,ubicacion,x,y
46932,Buenos Aires,ESCUELA PRIMARIA Nº10 HERMINIA BRUMANA,Estatal,CUARTEL VII   LA MARGARITA,LA MARGARITA,SALADILLO,GPS,"-59,93865456","-35,6083378"
46933,Buenos Aires,ESCUELA PRIMARIA Nº5 MARIANO MORENO,Estatal,SAN JOSE,SAN JOSE,ROQUE PEREZ,GPS,"-59,46610169","-35,33801934"
46934,Buenos Aires,ESCUELA PRIMARIA Nº38 GABRIELA MISTRAL,Estatal,ZONA RURAL   SAN ADOLFO,COLONIA SAN ADOLFO,VILLARINO,GPS,"-62,57635606","-39,34862672"
46937,Buenos Aires,ESCUELA PRIMARIA Nº43 MARISCAL ANTONIO JOSE DE SUCRE,Estatal,CUARTEL XII-RUTA 50-CAM.VECINAL S/N  EL CARMEN,EL CARMEN,AYACUCHO,GPS,"-58,71166495","-36,86143803"
46938,Buenos Aires,ESCUELA PRIMARIA Nº13 PAULA A. DE SARMIENTO,Estatal,RUTA 33 KM.63   LA QUERENCIA,LA QUERENCIA,TORNQUIST,GPS,"-62,2694132","-38,24317303"
46940,Buenos Aires,ESCUELA PRIMARIA Nº10 JOSE MANUEL ESTRADA,Estatal,RUTA 88 KM 65 S/N  SAN JOSE,SAN JOSE DE OTAMENDI,GENERAL ALVARADO,GPS,"-58,1475083","-38,26848127"
46941,Buenos Aires,ESCUELA PRIMARIA Nº5 GENRAL MANUEL BELGRANO,Estatal,ESTACION VILELA,VILELA,LAS FLORES,GPS,"-59,03595363","-35,84578812"
46944,Buenos Aires,ESCUELA PRIMARIA Nº43 ALMIRANTE GUILLERMO BROWN,Estatal,RUTA 8 KM 245/244 S/N  CAMPO ROTH,CAMPO ROTH,PERGAMINO,GPS,"-60,77457352","-33,93142628"
46948,Buenos Aires,ESCUELA PRIMARIA Nº3 BALDOMERO FERNANDEZ MORENO,Estatal,CUARTEL IX S/N,LA FLORIDA,LEZAMA,GPS,"-57,75998513","-35,85246019"
46949,Buenos Aires,ESCUELA PRIMARIA Nº25 TERRITORIO NACIONAL DE TIERRA DEL FUE,Estatal,CUARTEL V S/N  LA MOROCHA,LA MOROCHA,GENERAL ALVEAR,GPS,"-60,31175077","-35,88672975"
46950,Buenos Aires,ESCUELA PRIMARIA Nº21 JOSE HERNANDEZ,Estatal,CUARTEL VI S/N  LOS FLAMENCOS,LOS FLAMENCOS,GENERAL ALVEAR,GPS,"-60,23410332","-36,06391726"
46951,Buenos Aires,ESCUELA PRIMARIA Nº11 REPUBLICA DE COSTA RICA,Estatal,CUATEL I SALADILLO NORTE,SALADILLO,SALADILLO,GPS,"-59,80135748","-35,59915199"
46952,Buenos Aires,ESCUELA PRIMARIA Nº5 GENERAL DON JOSE DE SAN MARTIN,Estatal,SARMIENTO E/ RIVADAVIA Y BELGRANO 350,LABARDEN,GENERAL GUIDO,GPS,"-58,10286611","-36,94751514"
